range,count,take
"$550,001 - $600,000",780.00,447.00
"$600,001 - $650,000",530.00,329.00
"$650,001 - $700,000",370.00,247.20
"$700,001 - $750,000",320.00,233.60
"$750,001 - $800,000",260.00,197.20
"$800,001 - $850,000",200.00,167.30
"$850,001 - $900,000",130.00,110.20
"$900,001 - $950,000",120.00,106.30
"$950,001 - $1,000,000",110.00,105.20
"$1,000,001 - $1,050,000",750.00,1353.80
